Product Name,Make,Model,Variant,Wheelbase,Height,Roof Wrap Option,Extra Version 1,Extra Option 1,Extra Option 2,Charge,SKU,Square Footage,Rate Per SF,Pricing Rule,Export Note
Mercedes / Dodge Sprinter,Mercedes / Dodge,Sprinter,Short | Standerd | Top Front,Short,Standard,Top Front,,,,3744,288SF,288,13,Till 325 SF: $13/SF,Active variant
Nissan NV cargo van,Nissan,NV Cargo Van,Full,,,Full,,,,4510,410SF,410,11,Roof/Full over 325 SF: $11/SF,Active variant
Nissan NV cargo van,Nissan,NV Cargo Van,No,,,No,,,,4160,320SF,320,13,Till 325 SF: $13/SF,Active variant
Nissan NV cargo van,Nissan,NV Cargo Van,Top Front,,,Top Front,,,,4200,350SF,350,12,From 325 SF and up: $12/SF,Active variant
Nissan sentra,Nissan,Sentra,Full,,,Full,,,,3000,195SF,195,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Nissan sentra,Nissan,Sentra,No,,,No,,,,3000,175SF,175,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Tesla - Cybertruck,Tesla,Cybertruck,Base,,,,,,,4043,311SF,311,13,Till 325 SF: $13/SF,Variants inactive - exported base product only
Tesla - Model Y,Tesla,Model Y,Base,,,,,,,3000,180SF,180,14,"Till 200 SF: $14/SF + $3,000 minimum",Variants inactive - exported base product only
Toyota Camry,Toyota,Camry,Full,,,Full,,,,3000,150SF,150,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Toyota Camry,Toyota,Camry,No,,,No,,,,3000,180SF,180,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Toyota RAV4,Toyota,RAV4,Full,,,Full,,,,,,,,,Active variant
Toyota RAV4,Toyota,RAV4,No,,,No,,,,,,,,,Active variant
